Horizon,MSE,MAE,sMAPE,Dataset,Model,OriginIndex,OriginTimestamp
1,0.6363184138383277,0.7976956899960834,62.22345682873133,UCI Household,DLinear,0,2010-04-24 17:00:00
2,2.1339929143608685,1.4608192613601685,85.18441080757097,UCI Household,DLinear,0,2010-04-24 17:00:00
3,2.23259794115965,1.494188054148356,86.32072025032625,UCI Household,DLinear,0,2010-04-24 17:00:00
4,1.5841470861453557,1.258629050254822,90.01874703844841,UCI Household,DLinear,0,2010-04-24 17:00:00
5,4.473534732410265,2.115073221524556,101.40361203786117,UCI Household,DLinear,0,2010-04-24 17:00:00
6,4.489209599242526,2.118775495243072,107.45320642544324,UCI Household,DLinear,0,2010-04-24 17:00:00
7,0.9067271883021698,0.9522222368240356,75.09112704127217,UCI Household,DLinear,0,2010-04-24 17:00:00
8,0.8949241884078096,0.9460043279012044,81.29760947690572,UCI Household,DLinear,0,2010-04-24 17:00:00
9,4.877203662414293,2.208439191468557,133.286310245962,UCI Household,DLinear,0,2010-04-24 17:00:00
10,1.571701768974338,1.253675304444631,95.94240784369728,UCI Household,DLinear,0,2010-04-24 17:00:00
11,1.5843910987983056,1.2587259824117023,123.23893932810594,UCI Household,DLinear,0,2010-04-24 17:00:00
12,1.1524555736449174,1.073524836063385,80.762449586748,UCI Household,DLinear,0,2010-04-24 17:00:00
13,1.0956379917352663,1.0467272766749065,83.73797893010631,UCI Household,DLinear,0,2010-04-24 17:00:00
14,0.0450008875872649,0.2121341264088948,39.8498371440344,UCI Household,DLinear,0,2010-04-24 17:00:00
15,0.2025480880958738,0.4500534280459086,70.13891957170061,UCI Household,DLinear,0,2010-04-24 17:00:00
16,0.10308789085552,0.3210730304082235,55.20482653056027,UCI Household,DLinear,0,2010-04-24 17:00:00
17,0.6908445019415689,0.83117056128184,99.46769284558624,UCI Household,DLinear,0,2010-04-24 17:00:00
18,0.35268724226035,0.5938747698465983,36.915767913245936,UCI Household,DLinear,0,2010-04-24 17:00:00
19,0.1995235900312458,0.4466806353886923,27.90719624719898,UCI Household,DLinear,0,2010-04-24 17:00:00
20,0.7603899201449866,0.8720033945719401,56.33224323572358,UCI Household,DLinear,0,2010-04-24 17:00:00
21,0.4564380384118271,0.6756019822438557,42.85910794376722,UCI Household,DLinear,0,2010-04-24 17:00:00
22,0.0030901337015786,0.055588971042633,7.569361121319513,UCI Household,DLinear,0,2010-04-24 17:00:00
23,0.0955313963523717,0.3090815367380778,53.008962871995145,UCI Household,DLinear,0,2010-04-24 17:00:00
24,0.1358019356024043,0.3685131416956583,58.6626967911679,UCI Household,DLinear,0,2010-04-24 17:00:00
1,0.0260258569209321,0.161325313949585,32.540835832002955,UCI Household,DLinear,1,2010-05-01 17:00:00
2,0.1029023983174985,0.3207840368807316,181.53341177506744,UCI Household,DLinear,1,2010-05-01 17:00:00
3,0.010567945632639,0.1028005137761434,21.75059635305053,UCI Household,DLinear,1,2010-05-01 17:00:00
4,0.3878675479598206,0.6227901315530141,108.34179999583232,UCI Household,DLinear,1,2010-05-01 17:00:00
5,0.2687150015661283,0.5183772772471111,39.56540746169372,UCI Household,DLinear,1,2010-05-01 17:00:00
6,0.683314326546163,0.8266282880147298,37.95495673890501,UCI Household,DLinear,1,2010-05-01 17:00:00
7,0.0500036184198118,0.223614888636271,16.92565771084607,UCI Household,DLinear,1,2010-05-01 17:00:00
8,0.018238672542447,0.1350506295522054,31.69518175633297,UCI Household,DLinear,1,2010-05-01 17:00:00
9,0.0543760262241723,0.2331866767724354,97.18541169618716,UCI Household,DLinear,1,2010-05-01 17:00:00
10,1.318779832813573,1.148381396929423,119.00028943732416,UCI Household,DLinear,1,2010-05-01 17:00:00
11,0.7481932511569603,0.8649816478729248,105.99085508658118,UCI Household,DLinear,1,2010-05-01 17:00:00
12,0.5451911711359378,0.7383706190903981,199.9999972913332,UCI Household,DLinear,1,2010-05-01 17:00:00
13,0.1689905416333201,0.4110845918218295,199.99999513482143,UCI Household,DLinear,1,2010-05-01 17:00:00
14,0.0917440540722584,0.3028928095420201,152.52403776453008,UCI Household,DLinear,1,2010-05-01 17:00:00
15,0.999891113829486,0.9999455554326376,98.20134394940338,UCI Household,DLinear,1,2010-05-01 17:00:00
16,0.7972729059669128,0.8929013976732889,81.57956757493169,UCI Household,DLinear,1,2010-05-01 17:00:00
17,0.7356424613046423,0.8576960191726684,71.05120336389402,UCI Household,DLinear,1,2010-05-01 17:00:00
18,0.074846618774534,0.2735811009089152,28.194822787543178,UCI Household,DLinear,1,2010-05-01 17:00:00
19,0.0092042860122282,0.0959389702479043,6.125599705595423,UCI Household,DLinear,1,2010-05-01 17:00:00
20,8.8607188389259,2.976695960108439,143.47467789934385,UCI Household,DLinear,1,2010-05-01 17:00:00
21,11.265845805647215,3.3564632882912955,181.7249707379112,UCI Household,DLinear,1,2010-05-01 17:00:00
22,4.700202989969973,2.167995154507955,199.99999907748872,UCI Household,DLinear,1,2010-05-01 17:00:00
23,1.6944296030724633,1.3017025785764056,79.87463440117686,UCI Household,DLinear,1,2010-05-01 17:00:00
24,2.593160394949032,1.6103292815287908,163.54021261207498,UCI Household,DLinear,1,2010-05-01 17:00:00
1,0.0047761380649051,0.0691096090634663,17.73762825852929,UCI Household,DLinear,2,2010-05-08 17:00:00
