OriginIndex,Horizon,Reference,Baseline,LossDifferential
0,1,PGF-Net,DLinear,10.90877153595488
0,2,PGF-Net,DLinear,3.467562923034435
0,3,PGF-Net,DLinear,3.3933324790676114
0,4,PGF-Net,DLinear,5.6660149643592925
0,5,PGF-Net,DLinear,-3.970407696607068
0,6,PGF-Net,DLinear,11.184232592915624
0,7,PGF-Net,DLinear,-0.27320494463587164
0,8,PGF-Net,DLinear,9.197616207216102
0,9,PGF-Net,DLinear,9.4116216537161
0,10,PGF-Net,DLinear,-0.03382421990316975
0,11,PGF-Net,DLinear,-0.7878625736609093
0,12,PGF-Net,DLinear,8.290295471729856
0,13,PGF-Net,DLinear,0.9281259960166208
0,14,PGF-Net,DLinear,0.4318216541107747
0,15,PGF-Net,DLinear,1.335238278624798
0,16,PGF-Net,DLinear,0.3838427935316
0,17,PGF-Net,DLinear,-0.53414047497698
0,18,PGF-Net,DLinear,0.2795393118538875
0,19,PGF-Net,DLinear,5.390344596664298
0,20,PGF-Net,DLinear,-0.7588597229207787
0,21,PGF-Net,DLinear,12.890082358347424
0,22,PGF-Net,DLinear,-0.00219519292254
0,23,PGF-Net,DLinear,0.45300566588469104
0,24,PGF-Net,DLinear,6.067604486435142
1,1,PGF-Net,DLinear,4.5456559898162165
1,2,PGF-Net,DLinear,-0.04889480226838191
1,3,PGF-Net,DLinear,0.1581037629219399
1,4,PGF-Net,DLinear,2.0585118980616857
1,5,PGF-Net,DLinear,0.5005890212051196
1,6,PGF-Net,DLinear,12.014706519191865
1,7,PGF-Net,DLinear,1.184914200304487
1,8,PGF-Net,DLinear,3.7591507705296436
1,9,PGF-Net,DLinear,1.9272197336226586
1,10,PGF-Net,DLinear,-1.2472169349730142
1,11,PGF-Net,DLinear,-0.6066440603490721
1,12,PGF-Net,DLinear,2.0070145281267506
1,13,PGF-Net,DLinear,-0.16894947938615953
1,14,PGF-Net,DLinear,0.21990308510984063
1,15,PGF-Net,DLinear,-0.974792501316435
1,16,PGF-Net,DLinear,-0.608359450300098
1,17,PGF-Net,DLinear,1.7699929113380146
1,18,PGF-Net,DLinear,-0.014313606232605094
1,19,PGF-Net,DLinear,4.5669558698578205
